main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	water_fresh_cold	fresh	Salinity	low	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	Structural	low	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	Temperature	low	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	Water	high	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	pH	medium	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	salinity variability	small	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	water variability	permanently wet	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_deep	fresh	Gradients	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Nutrients	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Organic	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Pressure	high	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Salinity	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Structural	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Temperature	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	Water	high	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	pH	medium	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	salinity variability	small	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	temp variability	low	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_fresh_deep	fresh	water variability	permanently wet	ENVO:00002011|PATO:0001596	fresh water|increased depth
Aquatic	water_groundwater	fresh	Gradients	low	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	Organic	low	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	Salinity	low	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	Structural	medium	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	Water	high	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	pH	medium	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	salinity variability	small	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	temp variability	low	ENVO:01001004	groundwater
Aquatic	water_groundwater	fresh	water variability	permanently wet	ENVO:01001004	groundwater
Aquatic	water_groundwater_deepsubsurface	fresh	Gradients	low	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Organic	low	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Pressure	high	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Salinity	low	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Structural	medium	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Temperature	high	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	Water	high	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	salinity variability	small	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	temp variability	low	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_deepsubsurface	fresh	water variability	permanently wet	ENVO:01001004|PATO:0001596	groundwater|increased depth
Aquatic	water_groundwater_surface	fresh	Gradients	low	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	Organic	low	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	Salinity	low	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	Structural	medium	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	Water	high	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	pH	medium	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	salinity variability	small	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	temp variability	low	ENVO:01001004|PATO:0001472	groundwater|decreased depth
Aquatic	water_groundwater_surface	fresh	water variability	permanently wet	ENVO:01001004|PATO:0001472	groundwater|decreased depth
