identifier	slug
ENVO:00003893	cosmetic_product
ENVO:00003896	currency_note
ENVO:00003903	aviation_fuel
ENVO:00003908	poultry_deep_litter
ENVO:00003965	anaerobic_digester_sludge
ENVO:00005740	paddy_field_soil
ENVO:00005747	compost_soil
ENVO:00005749	farm_soil
ENVO:00005750	grassland_soil
ENVO:00005761	meadow_soil
ENVO:00005772	orchard_soil
ENVO:00005774	peat_soil
ENVO:00005778	tropical_soil
ENVO:00005779	vegetable_garden_soil
ENVO:00005780	greenhouse_soil
ENVO:00005791	sterile_water
ENVO:00005792	underground_water
ENVO:00005794	water_scum
ENVO:00005795	marine_mud
ENVO:00005800	desert_sand
ENVO:00005801	rhizosphere
ENVO:00005802	bulk_soil
ENVO:00005803	animal_habitation
ENVO:00010483	environmental_material
ENVO:00010506	emulsion
ENVO:00010622	vivarium
ENVO:00010624	botanical_garden
ENVO:00010625	zoological_garden
ENVO:00012408	aquifer
ENVO:0010001	anthropogenic_environmental_material
ENVO:01000001	mud
ENVO:01000002	water_well
ENVO:01000003	oil_well
ENVO:01000007	organic_object_formed_through_microbial_activity
ENVO:01000008	microbial_mat
ENVO:01000009	biotic_mesoscopic_physical_object
ENVO:01000016	silt
ENVO:01000017	sand
ENVO:01000020	estuarine_biome
ENVO:01000022	marine_salt_marsh_biome
ENVO:01000024	marine_benthic_biome
ENVO:01000026	marine_bathyal_zone_biome
ENVO:01000029	marine_reef_biome
ENVO:01000034	oceanic_sea_surface_microlayer_biome
ENVO:01000036	oceanic_mesopelagic_zone_biome
ENVO:01000038	oceanic_abyssopelagic_zone_biome
ENVO:01000042	neritic_epipelagic_zone_biome
ENVO:01000046	marginal_sea_biome
ENVO:01000047	mediterranean_sea_biome
ENVO:01000048	ocean_biome
ENVO:01000049	marine_coral_reef_biome
ENVO:01000059	sea_grass_bed
ENVO:01000066	marine_anoxic_zone
ENVO:01000073	marine_oligotrophic_desert
ENVO:01000105	marine_benthic_feature
ENVO:01000118	sandy_sediment
ENVO:01000119	silty_sediment
ENVO:01000124	marine_supra_littoral_zone
ENVO:01000125	marine_littoral_zone
ENVO:01000127	marine_cold_seep_biome
ENVO:01000129	marine_hydrothermal_vent_chimney
ENVO:01000134	hydrothermal_fluid
ENVO:01000140	whale_fall
ENVO:01000142	wood_fall
ENVO:01000143	marine_reef
ENVO:01000155	organic_material
ENVO:01000156	biofilm_material
ENVO:01000157	microbial_mat_material
ENVO:01000159	organic_feature
ENVO:01000161	marine_sponge_reef
ENVO:01000163	photophore__6253ffee
ENVO:01000164	root_nodule__0f1c7944
ENVO:01000173	anoxic_water
ENVO:01000174	forest_biome
ENVO:01000177	grassland_biome
ENVO:01000179	desert_biome
ENVO:01000180	tundra_biome
ENVO:01000181	mangrove_biome
ENVO:01000192	tropical_grassland_biome
ENVO:01000193	temperate_grassland_biome
ENVO:01000196	coniferous_forest_biome
ENVO:01000198	mixed_forest_biome
ENVO:01000199	mediterranean_forest_biome
ENVO:01000200	tropical_broadleaf_forest_biome
ENVO:01000202	temperate_broadleaf_forest_biome
ENVO:01000204	tropical
ENVO:01000205	subtropical
ENVO:01000206	temperate
ENVO:01000207	mediterranean
ENVO:01000211	temperate_coniferous_forest_biome
ENVO:01000212	temperate_mixed_forest_biome
ENVO:01000219	anthropogenic_terrestrial_biome
ENVO:01000228	tropical_moist_broadleaf_forest_biome
ENVO:01000236	basalt
ENVO:01000245	cropland_biome
ENVO:01000246	village_biome
ENVO:01000249	urban_biome
ENVO:01000250	subpolar_coniferous_forest_biome
ENVO:01000252	freshwater_lake_biome
ENVO:01000254	environmental_system
ENVO:01000255	mineral_deposit
ENVO:01000256	mineral_material
ENVO:01000257	white_smoker
ENVO:01000262	seep
ENVO:01000263	cold_seep
ENVO:01000277	water_ice
ENVO:01000294	crevice
ENVO:01000297	freshwater_river
ENVO:01000298	continental_margin
ENVO:01000303	endolithic_environment
ENVO:01000305	high_temperature_environment
ENVO:01000306	freshwater_environment
ENVO:01000309	cold_environment
ENVO:01000311	cultivated_environment
ENVO:01000313	anthropogenic_environment
ENVO:01000316	alkaline_environment
ENVO:01000317	aquatic_environment
ENVO:01000320	marine_environment
ENVO:01000340	alpine
ENVO:01000357	alkaline_water
ENVO:01000371	agricultural_waste_material
ENVO:01000372	household_waste_material
ENVO:01000406	snow
ENVO:01000417	house
ENVO:01000460	asphalt
ENVO:01000536	factory
ENVO:01000556	biogas
ENVO:01000599	river_water
ENVO:01000600	rainwater
ENVO:01000617	lentic_water_body
ENVO:01000618	lotic_water_body
ENVO:01000620	mesocosm
ENVO:01000621	microcosm
ENVO:01000627	feedlot
ENVO:01000628	plant_litter
ENVO:01000653	slum
ENVO:01000681	sodium_chloride_salt
ENVO:01000722	meltwater
ENVO:01000747	regolith
ENVO:01000749	oceanic_crust
ENVO:01000867	solar_panel_array
ENVO:01000890	area_of_moss_dominated_vegetation
ENVO:01000905	shrimp_pond
ENVO:01000909	biocrust
ENVO:01000910	soil_biocrust
ENVO:01000922	animal_cage
ENVO:01000925	abattoir
ENVO:01000964	industrial_wastewater
ENVO:01000965	constructed_swimming_pool
ENVO:01001001	plant_associated_environment
ENVO:01001002	animal_associated_environment
ENVO:01001004	groundwater__585f08d9
ENVO:01001020	hypersaline_lake
ENVO:01001029	fecal_environment
ENVO:01001040	saline_environment
ENVO:01001041	fungi_associated_environment
ENVO:01001043	hypersaline_water_environment
ENVO:01001069	metallic_material
ENVO:01001181	rhizoplane
ENVO:01001184	arable
ENVO:01001206	grassland_ecosystem
ENVO:01001207	ranch
ENVO:01001267	stormwater
ENVO:01001319	saline_water_body
ENVO:01001321	brackish_water_body
ENVO:01001357	desert
ENVO:01001360	paramo
ENVO:01001405	laboratory_environment
ENVO:01001406	laboratory_facility
ENVO:01001511	freshwater_ice
ENVO:01001529	glacier_snout
